num_threads,l2_assoc,accel_clock_time,num_accels,l2_size,total_time (ns),total_accel_time (ns),total_energy (nJ),fu_energy (nJ),spad_energy (nJ),llc_leakage_energy (nJ),llc_dynamic_energy (nJ),total_area (uM^2),fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
1,32,2,1,262144,846696,387068,28437.19,3086.53,842.68,13963.37,10544.61,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,1,1,262144,591399,276904,10557.05,2732.84,803.14,4378.33,2642.73,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,1,1,524288,779248,530478,25896.61,14162.21,2424.94,8545.78,763.68,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,524288,1567616,846604,25633.51,5679.08,1967.37,17191.57,795.48,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,262144,2442624,1023856,38068.86,6960.52,1071.21,24850.77,5186.36,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,8,1,262144,2436856,1022088,28721.03,6952.78,1070.57,18040.9,2656.79,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,4,1,524288,1567460,847464,37592.99,5682.49,1967.68,28417.58,1525.24,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,262144,586872,276463,29365.23,8055.02,1100.59,9678.46,10531.17,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,524288,1044772,636178,26863.03,4522.83,1891.86,18941.4,1506.94,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,524288,1044842,636178,18054.58,4522.63,1891.86,11340.51,299.59,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,524288,2596640,1205608,34884.46,4509.8,1879.9,28183.41,311.35,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,8,1,524288,2596640,1205608,58376.16,8016.09,1717.66,47076.3,1566.1,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,262144,1371764,600692,14571.2,4257.05,919.34,7893.21,1501.6,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,8,1,262144,2447152,1022664,58987.88,6957.21,1070.78,40357.45,10602.44,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,1,1,524288,779248,530456,28384.27,17211.02,2424.91,8457.8,290.54,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,4,1,262144,1366124,599088,17928.18,4248.72,918.77,10113.89,2646.8,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,262144,2445656,1021760,23602.65,6950,1070.45,14072.45,1509.75,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,8,1,1048576,2596640,1205608,51833.72,8016.16,2096.22,41195.43,525.9,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,2,1,262144,851102,386988,12875.64,3086.81,842.65,6301.01,2645.17,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,4,1,1048576,1567616,846600,30624.32,5679.05,1967.37,22552.35,425.54,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,1,1,262144,588442,277951,14676.89,2739.36,803.52,5986.69,5147.33,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,1048576,1044840,636242,25110.37,4523.17,1891.88,17838.87,856.46,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,1048576,2596640,1205608,55335.73,8016.22,2096.22,44333.21,890.08,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,4,1,1048576,1567616,846612,33027.67,5679.04,1967.38,24870.07,511.18,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,1,1,1048576,779248,530475,19010.19,4302.83,1853.92,12362.69,490.75,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
