num_threads	l2_assoc	accel_clock_time	soc_interface	num_accels	l2_size	total_time (ns)	total_accel_time (ns)	total_energy (nJ)	fu_energy (nJ)	spad_energy (nJ)	llc_leakage_energy (nJ)	llc_dynamic_energy (nJ)	total_area (uM^2)	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	32	1	acp	1	262144	586872.00	276463.00	29365.23	8055.02	1100.59	9678.46	10531.17	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	2	dma	1	524288	1044772.00	636178.00	26863.03	4522.83	1891.86	18941.40	1506.94	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	2	dma	1	524288	1044842.00	636178.00	18054.58	4522.63	1891.86	11340.51	299.59	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	8	dma	1	524288	2596640.00	1205608.00	34884.46	4509.80	1879.90	28183.41	311.35	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	8	dma	1	524288	2596640.00	1205608.00	58376.16	8016.09	1717.66	47076.30	1566.10	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	4	acp	1	262144	1371764.00	600692.00	14571.20	4257.05	919.34	7893.21	1501.60	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	8	acp	1	262144	2447152.00	1022664.00	58987.88	6957.21	1070.78	40357.45	10602.44	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	1	dma	1	524288	779248.00	530456.00	28384.27	17211.02	2424.91	8457.80	290.54	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	4	acp	1	262144	1366124.00	599088.00	17928.18	4248.72	918.77	10113.89	2646.80	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	8	acp	1	262144	2445656.00	1021760.00	23602.65	6950.00	1070.45	14072.45	1509.75	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	8	8	dma	1	1048576	2596640.00	1205608.00	51833.72	8016.16	2096.22	41195.43	525.90	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	8	2	acp	1	262144	851102.00	386988.00	12875.64	3086.81	842.65	6301.01	2645.17	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	4	dma	1	1048576	1567616.00	846600.00	30624.32	5679.05	1967.37	22552.35	425.54	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	1	acp	1	262144	588442.00	277951.00	14676.89	2739.36	803.52	5986.69	5147.33	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
