cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	32768	16	4	2	16	1048576	619373	168.41	84.4496	81.0417	3.40786	83.96	80.1552	3.80483	1130760.0	268860.0	861903.0	0	0	8	8	0	0	0	0	9	49
4	32768	16	2	2	2	262144	490079	44.3758	20.2452	18.6341	1.61112	24.1306	20.3258	3.80483	1043610.0	181710.0	861903.0	0	0	8	8	0	0	0	0	9	45
1	65536	8	2	2	4	262144	437161	164.512	119.376	115.977	3.39839	45.1364	40.6132	4.52326	1152740.0	268094.0	884645.0	0	0	8	8	0	0	0	0	9	45
2	131072	2	2	2	16	524288	319483	161.273	65.2033	63.1536	2.0497	96.0699	87.7862	8.2837	2152720.0	205137.0	1947580.0	0	0	8	8	0	0	0	0	9	49
1	32768	2	4	2	16	524288	581379	109.144	90.236	86.8376	3.39839	18.9084	16.6601	2.24834	723456.0	268094.0	455361.0	0	0	8	8	0	0	0	0	9	45
1	65536	2	4	1	2	1048576	481379	138.076	108.475	105.067	3.40786	29.6014	25.4752	4.12621	1121360.0	268860.0	852502.0	0	0	8	8	0	0	0	0	9	49
4	16384	4	4	2	1	1048576	606816	20.3013	16.7065	15.0954	1.61112	3.59481	2.30204	1.29277	416153.0	181710.0	234443.0	0	0	8	8	0	0	0	0	9	45
4	16384	2	4	1	16	1048576	420732	28.3682	23.1387	21.5087	1.63005	5.22946	3.99853	1.23093	417862.0	183241.0	234621.0	0	0	8	8	0	0	0	0	9	53
1	16384	4	4	1	4	131072	735080	83.3517	71.8868	68.4789	3.40786	11.4649	10.1721	1.29277	503303.0	268860.0	234443.0	0	0	8	8	0	0	0	0	9	49
2	32768	16	4	2	16	524288	479513	97.6563	43.8251	41.7754	2.0497	53.8312	50.0263	3.80483	1067040.0	205137.0	861903.0	0	0	8	8	0	0	0	0	9	49
4	131072	16	2	1	16	1048576	328535	119.751	29.4976	27.8864	1.61112	90.2532	80.7485	9.50465	2185710.0	181710.0	2004000.0	0	0	8	8	0	0	0	0	9	45
4	65536	2	4	4	8	1048576	356508	41.4465	27.3052	25.694	1.61112	14.1414	10.0152	4.12621	1034210.0	181710.0	852502.0	0	0	8	8	0	0	0	0	9	45
1	131072	4	4	2	16	262144	361243	226.45	143.892	140.493	3.39839	82.5585	73.8094	8.7491	2552040.0	268094.0	2283950.0	0	0	8	8	0	0	0	0	9	45
4	16384	16	4	4	4	262144	442299	49.7113	22.0726	20.4521	1.62058	27.6387	24.6792	2.95945	860962.0	182476.0	678486.0	0	0	8	8	0	0	0	0	9	49
1	16384	4	4	2	4	1048576	739981	82.9325	71.4229	68.015	3.40786	11.5096	10.2168	1.29277	503303.0	268860.0	234443.0	0	0	8	8	0	0	0	0	9	49
1	32768	16	1	1	4	524288	619606	210.525	83.4077	79.9998	3.40786	127.117	123.313	3.80483	1130760.0	268860.0	861903.0	0	0	8	8	0	0	0	0	9	49
2	32768	1	2	2	4	524288	438153	60.067	48.0888	46.0391	2.0497	11.9782	9.79021	2.18802	739307.0	205137.0	534170.0	0	0	8	8	0	0	0	0	9	49
4	32768	2	1	4	2	1048576	482044	26.8656	20.5845	18.964	1.62058	6.28104	4.0327	2.24834	637837.0	182476.0	455361.0	0	0	8	8	0	0	0	0	9	49
2	16384	8	1	2	4	131072	492751	62.4961	42.5297	40.48	2.0497	19.9664	18.3888	1.57769	429295.0	205137.0	224158.0	0	0	8	8	0	0	0	0	9	49
2	65536	4	2	2	2	131072	442100	67.0609	47.5885	45.5388	2.0497	19.4723	15.1833	4.28904	1089970.0	205137.0	884833.0	0	0	8	8	0	0	0	0	9	49
4	131072	2	2	2	4	524288	312659	84.0604	30.9335	29.3129	1.62058	53.127	44.8433	8.2837	2130060.0	182476.0	1947580.0	0	0	8	8	0	0	0	0	9	49
2	16384	8	2	4	16	524288	494667	55.702	42.3475	40.2978	2.0497	13.3544	11.7767	1.57769	429295.0	205137.0	224158.0	0	0	8	8	0	0	0	0	9	49
2	32768	4	4	1	16	262144	467783	58.0721	44.9343	42.8846	2.0497	13.1377	10.8276	2.31017	660325.0	205137.0	455188.0	0	0	8	8	0	0	0	0	9	49
1	65536	8	4	1	2	1048576	539105	128.937	97.174	93.7662	3.40786	31.7625	27.2393	4.52326	1153510.0	268860.0	884645.0	0	0	8	8	0	0	0	0	9	49
2	16384	8	1	2	2	524288	568562	48.7423	37.3478	35.2981	2.0497	11.3944	9.81676	1.57769	429295.0	205137.0	224158.0	0	0	8	8	0	0	0	0	9	49
1	32768	2	2	2	4	131072	558588	112.636	93.6678	90.2599	3.40786	18.9686	16.7202	2.24834	724222.0	268860.0	455361.0	0	0	8	8	0	0	0	0	9	49
1	65536	4	1	4	2	131072	497782	136.043	105.027	101.626	3.40076	31.016	26.7269	4.28904	1153120.0	268286.0	884833.0	0	0	8	8	0	0	0	0	9	46
4	16384	4	1	4	8	1048576	409044	29.6043	23.7331	22.1126	1.62058	5.8712	4.57843	1.29277	416919.0	182476.0	234443.0	0	0	8	8	0	0	0	0	9	49
1	16384	16	1	1	4	262144	712215	175.196	72.3684	68.9605	3.40786	102.827	99.8679	2.95945	947346.0	268860.0	678486.0	0	0	8	8	0	0	0	0	9	49
4	131072	2	1	1	8	524288	302049	110.764	31.7035	30.1019	1.60165	79.0601	70.7764	8.2837	2128520.0	180944.0	1947580.0	0	0	8	8	0	0	0	0	9	41
2	16384	1	1	2	4	1048576	496274	53.5266	42.3007	40.251	2.0497	11.2259	10.0181	1.20775	439664.0	205137.0	234527.0	0	0	8	8	0	0	0	0	9	49
