cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	131072	2	1	4	4	524288	74908	123.695	7.20445	6.14885	1.0556	116.491	108.207	8.2837	2044960.0	97383.7	1947580.0	0	0	0	0	0	8	84	30	31	73
2	65536	1	2	4	2	262144	150535	12.7957	2.08703	1.23515	0.85188	10.7086	6.63066	4.07797	932783.0	81120.5	851663.0	0	0	0	0	0	8	84	30	31	82
1	16384	4	4	4	2	524288	117695	14.9303	4.97796	3.91053	1.06743	9.95233	8.65956	1.29277	332784.0	98340.7	234443.0	0	0	0	0	0	8	84	30	31	78
2	32768	4	2	4	1	1048576	116660	10.8142	2.46401	1.59557	0.868445	8.35021	6.04003	2.31017	537648.0	82460.3	455188.0	0	0	0	0	0	8	84	30	31	89
4	131072	2	2	4	8	1048576	51598	47.7478	2.47174	1.62691	0.844834	45.2761	36.9924	8.2837	2023790.0	76209.4	1947580.0	0	0	0	0	0	8	84	30	31	78
2	32768	4	4	2	16	524288	70818	15.6968	3.47139	2.62424	0.847147	12.2255	9.91529	2.31017	535926.0	80737.7	455188.0	0	0	0	0	0	8	84	30	31	80
4	65536	4	2	1	8	131072	52496	17.243	2.42916	1.59853	0.830635	14.8138	10.5248	4.28904	959894.0	75061.0	884833.0	0	0	0	0	0	8	84	30	31	72
4	131072	4	2	2	1	131072	109737	18.6498	1.60274	0.765002	0.837734	17.0471	8.29796	8.7491	2359580.0	75635.2	2283950.0	0	0	0	0	0	8	84	30	31	75
1	16384	1	4	2	16	262144	201085	9.0724	3.33684	2.29071	1.04613	5.73556	4.52781	1.20775	331145.0	96618.1	234527.0	0	0	0	0	0	8	84	30	31	69
4	131072	16	2	2	16	524288	48602	59.02	2.5719	1.72707	0.844834	56.4481	46.9434	9.50465	2080210.0	76209.4	2004000.0	0	0	0	0	0	8	84	30	31	78
1	32768	2	4	4	2	1048576	117835	18.1739	4.9733	3.90587	1.06743	13.2006	10.9522	2.24834	553702.0	98340.7	455361.0	0	0	0	0	0	8	84	30	31	78
1	16384	8	4	1	16	262144	99416	23.4649	5.6937	4.62863	1.06507	17.7712	16.1935	1.57769	322307.0	98149.3	224158.0	0	0	0	0	0	8	84	30	31	77
1	65536	4	4	1	2	262144	110030	29.6873	5.24927	4.18421	1.06507	24.438	20.149	4.28904	982982.0	98149.3	884833.0	0	0	0	0	0	8	84	30	31	77
1	65536	16	2	2	4	131072	92328	92.4817	6.03915	4.98355	1.0556	86.4425	80.7328	5.7097	1340600.0	97383.7	1243210.0	0	0	0	0	0	8	84	30	31	73
2	32768	16	2	2	4	524288	64716	58.9875	3.70934	2.87166	0.837681	55.2781	51.4733	3.80483	941875.0	79972.1	861903.0	0	0	0	0	0	8	84	30	31	76
2	16384	2	2	4	2	1048576	87846	9.58124	2.95699	2.11457	0.842414	6.62426	5.39332	1.23093	314976.0	80354.9	234621.0	0	0	0	0	0	8	84	30	31	78
4	65536	8	4	4	2	1048576	83655	13.7313	1.85503	1.0031	0.851933	11.8763	7.35303	4.52326	961429.0	76783.7	884645.0	0	0	0	0	0	8	84	30	31	81
1	16384	8	4	4	4	262144	104326	22.4068	5.46473	4.40913	1.0556	16.9421	15.3644	1.57769	321542.0	97383.7	224158.0	0	0	0	0	0	8	84	30	31	73
4	65536	2	2	1	4	262144	52228	16.4479	2.44217	1.6068	0.835368	14.0058	9.87956	4.12621	927946.0	75443.8	852502.0	0	0	0	0	0	8	84	30	31	74
2	16384	4	2	2	16	524288	65926	12.724	3.66618	2.81904	0.847147	9.05779	7.76502	1.29277	315181.0	80737.7	234443.0	0	0	0	0	0	8	84	30	31	80
4	16384	8	4	2	8	131072	59530	10.5362	2.25659	1.40939	0.8472	8.27957	6.70188	1.57769	300559.0	76400.8	224158.0	0	0	0	0	0	8	84	30	31	79
1	131072	4	2	4	16	262144	77463	62.987	7.0023	5.9396	1.0627	55.9847	47.2356	8.7491	2381910.0	97957.9	2283950.0	0	0	0	0	0	8	84	30	31	76
4	16384	4	1	4	16	262144	55388	8.47855	2.36229	1.51746	0.844834	6.11625	4.82349	1.29277	310653.0	76209.4	234443.0	0	0	0	0	0	8	84	30	31	78
1	16384	4	4	1	8	131072	99023	17.3377	5.71206	4.647	1.06507	11.6257	10.3329	1.29277	332593.0	98149.3	234443.0	0	0	0	0	0	8	84	30	31	77
