cycle_time,pipelining,cache_size,cache_assoc,cache_hit_latency,cache_line_sz,cache_queue_size,tlb_hit_latency,tlb_miss_latency,tlb_entries,tlb_max_outstanding_walks,tlb_assoc,tlb_bandwidth,l2cache_size,pipelined_dma,ignore_cache_flush,cycle,avg_power,fu_power,avg_fu_dynamic_power,avg_fu_leakage_power,avg_mem_power,avg_mem_dynamic_power,avg_mem_leakage_power,total_area,fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
3,1,131072,16,4,32,64,1,4,64,4,2,2,524288,0,1,22100,76.7418,7.87168,5.18215,2.68953,68.8701,62.0695,6.800669999999998,1043390.0,224525.0,818865.0,0,0,0,0,0,4,84,30,31,940
5,0,32768,4,1,32,16,2,16,32,4,1,1,1048576,0,0,58717,5.65589,1.5638,1.10666,0.457143,4.09209,2.71676,1.37533,147000.0,40786.8,106213.0,0,0,0,0,0,2,84,30,31,36
4,0,16384,4,2,64,128,4,8,32,8,1,1,262144,1,1,49843,5.59923,2.26343,1.7074200000000002,0.5560069999999999,3.3358,2.6744,0.661399,100977.0,48683.5,52293.7,0,0,0,0,0,2,84,30,31,77
4,1,16384,8,1,64,128,3,2,32,4,1,2,262144,0,0,25357,14.138,5.98392,3.2932900000000003,2.69063,8.154110000000001,7.2206,0.933512,347178.0,222723.0,124455.0,0,0,0,0,0,4,84,30,31,938
2,1,65536,1,4,32,32,4,4,32,8,1,1,1048576,0,0,40103,21.0676,7.27453,4.7223,2.5522400000000003,13.793,11.1756,2.61744,400861.0,211266.0,189594.0,0,0,0,0,0,2,84,30,31,921
3,1,131072,16,3,64,128,1,4,16,4,4,1,131072,1,0,26250,32.4669,6.9425,4.3912900000000015,2.5512,25.5244,20.5861,4.9383300000000006,551480.0,210940.0,340540.0,0,0,0,0,0,2,84,30,31,921
1,1,65536,16,2,32,64,1,16,32,8,4,2,524288,1,0,60063,54.2547,10.4551,7.659210000000002,2.79591,43.7995,40.2043,3.59521,642017.0,237927.0,404090.0,0,0,0,0,0,4,84,30,31,938
2,1,16384,8,1,32,16,1,16,64,4,1,1,1048576,0,0,41205,16.6793,7.15383,4.6016,2.5522400000000003,9.52548,8.76688,0.758596,267875.0,211266.0,56608.5,0,0,0,0,0,2,84,30,31,921
1,1,16384,4,1,32,16,4,4,16,8,8,2,131072,1,1,63781,20.886,10.0059,7.20994,2.79591,10.8801,9.96087,0.91925,355289.0,237927.0,117361.0,0,0,0,0,0,4,84,30,31,938
3,1,16384,16,1,64,128,3,4,64,4,4,2,1048576,1,1,25567,25.2316,7.13503,4.4455,2.68953,18.0966,16.6995,1.3971,405084.0,224525.0,180558.0,0,0,0,0,0,4,84,30,31,940
4,1,16384,8,2,64,64,3,1,8,8,4,1,131072,0,0,31544,10.2481,5.25904,2.70807,2.55097,4.98909,4.27963,0.7094659999999999,266641.0,210039.0,56602.5,0,0,0,0,0,2,84,30,31,920
5,0,16384,16,1,32,64,3,16,8,4,4,1,262144,1,1,62242,6.19502,1.50087,1.0437299999999998,0.457143,4.69415,3.76055,0.933599,112366.0,40786.8,71579.2,0,0,0,0,0,2,84,30,31,36
1,0,65536,4,1,32,64,3,8,32,4,4,2,262144,0,0,92824,23.2215,5.655480000000002,4.93262,0.722859,17.566,14.3894,3.17663,554065.0,70255.7,483809.0,0,0,0,0,0,4,84,30,31,62
3,0,32768,8,1,64,16,4,4,32,8,8,2,131072,0,1,40475,12.5171,3.4814199999999995,2.80104,0.680372,9.03568,7.395760000000001,1.6399099999999998,263771.0,62021.5,201750.0,0,0,0,0,0,4,84,30,31,91
3,1,16384,8,4,32,64,1,16,32,8,1,1,131072,1,0,38771,12.5184,5.542669999999998,2.99147,2.5512,6.97577,6.21718,0.758596,267548.0,210940.0,56608.5,0,0,0,0,0,2,84,30,31,921
3,0,65536,4,3,32,128,4,2,16,8,8,1,262144,0,1,72909,9.45279,2.05231,1.58126,0.47105,7.40048,4.72475,2.67573,278823.0,42693.9,236129.0,0,0,0,0,0,2,84,30,31,42
5,1,65536,1,1,64,64,1,16,64,8,8,2,524288,1,0,27569,15.3296,5.03001,2.32773,2.70228,10.2996,7.408239999999998,2.8913900000000003,611694.0,223773.0,387921.0,0,0,0,0,0,4,84,30,31,944
1,1,131072,4,1,64,128,4,8,32,4,4,1,1048576,0,1,28319,67.4948,19.0945,16.4756,2.61889,48.4003,43.7025,4.69785,594499.0,223502.0,370997.0,0,0,0,0,0,2,84,30,31,929
5,1,131072,2,3,64,64,3,2,8,8,4,1,524288,1,1,26084,18.6533,5.03479,2.4833,2.5515,13.6185,8.936010000000003,4.6824900000000005,544794.0,210181.0,334613.0,0,0,0,0,0,2,84,30,31,921
5,1,32768,8,2,32,128,3,1,8,8,8,2,131072,0,1,30938,14.6945,4.79919,2.10638,2.69281,9.89529,8.14057,1.75472,424796.0,223008.0,201789.0,0,0,0,0,0,4,84,30,31,940
3,0,16384,16,4,64,64,4,8,64,8,1,2,262144,1,0,47924,13.278,3.04603,2.36566,0.680372,10.232,8.83491,1.3971,242580.0,62021.5,180558.0,0,0,0,0,0,4,84,30,31,91
1,0,32768,2,2,64,128,4,2,8,4,2,1,524288,0,0,59064,19.4371,8.43867,7.869169999999999,0.569505,10.9984,9.72864,1.26981,164141.0,57744.4,106397.0,0,0,0,0,0,2,84,30,31,63
3,0,16384,16,2,32,16,3,2,64,4,1,2,1048576,0,0,62731,12.2143,2.42013,1.82022,0.599911,9.79416,8.35755,1.43661,225004.0,55513.7,169490.0,0,0,0,0,0,4,84,30,31,57
4,1,131072,4,3,32,32,1,16,64,8,4,1,131072,0,0,30817,23.3861,5.3304300000000016,2.7770900000000003,2.55333,18.0557,13.0872,4.96851,652881.0,210230.0,442651.0,0,0,0,0,0,2,84,30,31,921
1,0,131072,2,3,32,64,1,2,32,4,8,1,262144,0,0,55946,44.4091,8.83315,8.31334,0.519808,35.576,30.6309,4.94505,499921.0,53724.9,446196.0,0,0,0,0,0,2,84,30,31,42
4,1,16384,2,4,64,16,1,16,16,8,8,2,131072,1,0,25686,11.3834,5.94123,3.2506,2.69063,5.44215,4.618,0.824156,325691.0,222723.0,102968.0,0,0,0,0,0,4,84,30,31,938
4,1,16384,8,3,64,32,3,1,8,8,4,2,524288,1,1,25399,14.0141,5.97797,3.28971,2.68826,8.03613,7.10262,0.933512,346987.0,222532.0,124455.0,0,0,0,0,0,4,84,30,31,937
1,0,32768,1,1,64,16,3,16,16,4,2,2,524288,1,0,150247,10.2237,3.80504,3.04195,0.7630899999999999,6.41869,4.91041,1.5082799999999998,272054.0,73509.6,198544.0,0,0,0,0,0,4,84,30,31,79
1,1,131072,2,4,32,64,2,4,32,8,2,2,1048576,1,1,31683,76.7212,17.2872,14.496,2.79118,59.4339,53.4049,6.02909,1107560.0,237544.0,870011.0,0,0,0,0,0,4,84,30,31,936
1,1,16384,1,1,64,32,4,4,16,4,4,1,524288,1,1,47504,23.256,12.4582,9.8251,2.63309,10.7978,10.148,0.649817,277136.0,224650.0,52485.5,0,0,0,0,0,2,84,30,31,935
2,1,32768,1,1,64,128,4,8,16,4,8,1,524288,1,1,35233,17.1956,7.9211,5.36886,2.5522400000000003,9.27446,8.020380000000001,1.25407,316420.0,211266.0,105153.0,0,0,0,0,0,2,84,30,31,921
2,1,65536,16,4,64,64,2,16,64,4,2,1,262144,0,1,31809,30.2725,8.51857,5.9474,2.57117,21.7539,19.1305,2.62343,404186.0,212798.0,191388.0,0,0,0,0,0,2,84,30,31,929
4,1,65536,4,3,32,128,2,1,32,8,4,2,524288,0,0,29543,19.9705,5.54513,2.8545,2.69063,14.4254,11.2488,3.17663,706532.0,222723.0,483809.0,0,0,0,0,0,4,84,30,31,938
3,1,65536,4,1,64,32,2,4,64,4,2,1,1048576,1,1,29719,17.4372,6.43382,3.88025,2.55357,11.0034,8.50014,2.50325,403848.0,211131.0,192717.0,0,0,0,0,0,2,84,30,31,922
1,1,16384,2,2,32,128,1,2,32,8,4,1,524288,0,1,64269,20.1454,9.87175,7.271789999999998,2.59996,10.2736,9.56965,0.703973,284980.0,221971.0,63009.7,0,0,0,0,0,2,84,30,31,921
3,1,131072,4,1,32,16,3,16,16,4,2,2,524288,1,1,22415,40.1998,7.79202,5.10486,2.68716,32.4077,26.3372,6.07051,1093860.0,224334.0,869529.0,0,0,0,0,0,4,84,30,31,939
3,0,65536,2,1,32,128,2,8,16,4,1,1,1048576,1,1,75294,8.89546,1.99472,1.52367,0.47105,6.90075,4.2777400000000005,2.623,231088.0,42693.9,188394.0,0,0,0,0,0,2,84,30,31,42
1,0,131072,1,2,64,16,2,8,16,4,8,2,524288,0,1,41204,49.5746,11.8599,11.0969,0.7630899999999999,37.7146,32.0555,5.65909,796303.0,73509.6,722793.0,0,0,0,0,0,4,84,30,31,79
2,0,65536,8,2,64,16,4,8,16,4,1,1,131072,1,1,68152,12.1863,3.32329,2.76364,0.559645,8.86298,6.31449,2.5485,244820.0,50102.7,194717.0,0,0,0,0,0,2,84,30,31,79
2,0,131072,4,3,64,16,3,2,8,4,8,2,524288,0,0,41349,27.739,5.15422,4.46009,0.694132,22.5848,16.8686,5.7162,933182.0,63440.7,869742.0,0,0,0,0,0,4,84,30,31,95
5,0,131072,2,1,32,16,2,1,16,4,4,1,1048576,1,0,42421,15.0346,2.0104,1.54143,0.468975,13.0242,8.079130000000001,4.94505,487940.0,41743.8,446196.0,0,0,0,0,0,2,84,30,31,41
4,0,16384,16,2,32,128,3,1,32,4,8,1,1048576,1,0,66996,7.04242,1.7416900000000002,1.27325,0.468447,5.30072,4.36712,0.933599,113181.0,41601.5,71579.2,0,0,0,0,0,2,84,30,31,40
3,0,65536,16,3,32,64,4,16,64,8,1,1,524288,1,0,73219,12.9456,2.03623,1.57465,0.461584,10.9094,8.11027,2.79913,226439.0,41928.3,184511.0,0,0,0,0,0,2,84,30,31,38
2,0,32768,1,4,32,64,3,8,64,8,4,1,131072,0,1,131454,6.01897,1.9203,1.43401,0.486283,4.0986699999999985,2.76599,1.33268,149300.0,44169.1,105131.0,0,0,0,0,0,2,84,30,31,48
2,0,65536,4,1,32,16,4,4,8,4,4,2,1048576,1,1,68361,16.2631,3.3164300000000004,2.70276,0.613671,12.9467,9.77005,3.17663,540742.0,56932.9,483809.0,0,0,0,0,0,4,84,30,31,61
5,0,65536,4,4,32,16,4,4,64,4,1,2,1048576,0,1,64721,8.9125,1.60758,1.00202,0.6055590000000001,7.30492,4.12829,3.17663,537997.0,54187.7,483809.0,0,0,0,0,0,4,84,30,31,58
3,1,65536,2,2,64,64,1,2,16,8,8,1,262144,1,0,30069,16.6537,6.3883800000000015,3.83481,2.55357,10.2653,7.7991100000000015,2.46617,399607.0,211131.0,188476.0,0,0,0,0,0,2,84,30,31,922
3,0,16384,16,2,64,16,1,1,16,4,8,2,131072,1,1,37639,16.3451,3.69216,3.01179,0.680372,12.6529,11.2558,1.3971,242580.0,62021.5,180558.0,0,0,0,0,0,4,84,30,31,91
1,1,32768,1,3,64,32,3,8,16,8,8,1,262144,1,0,46580,25.7742,12.6552,10.0198,2.63546,13.119000000000002,11.8649,1.25407,329995.0,224842.0,105153.0,0,0,0,0,0,2,84,30,31,936
3,1,16384,8,1,64,128,4,8,16,8,2,1,131072,1,0,32057,12.5298,6.15375,3.59782,2.55594,6.37608,5.66661,0.7094659999999999,267925.0,211322.0,56602.5,0,0,0,0,0,2,84,30,31,923
3,0,32768,1,1,32,64,2,4,32,8,4,1,262144,1,1,95445,5.5579,1.68544,1.21203,0.473416,3.87245,2.53977,1.33268,148016.0,42885.3,105131.0,0,0,0,0,0,2,84,30,31,43
